code,city,n_nodes,n_edges,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,orientation_order_phi,dominant_bearing,n_dominant_peaks
chicago,"Chicago, Illinois, USA",314035,1058444,2.15869,0.602394,2.177792,0.607724,0.876425,85.0,4
manhattan,"Manhattan, New York, USA",36202,114586,2.840329,0.792609,2.679653,0.747771,0.562074,115.0,4
vancouver,"Vancouver, British Columbia, Canada",56327,168606,2.667601,0.744408,2.561083,0.714684,0.659939,175.0,4
portland,"Portland, Oregon, USA",75732,216264,2.93076,0.817844,2.997451,0.836455,0.505908,175.0,4
denver,"Denver, Colorado, USA",130115,402620,2.66061,0.742457,2.695275,0.752131,0.663639,85.0,4
miami,"Miami, Florida, USA",39013,108306,2.684605,0.749153,2.548638,0.711211,0.650853,85.0,4
phoenix,"Phoenix, Arizona, USA",241045,704764,2.675781,0.746691,2.881583,0.804121,0.655583,175.0,4
saltlakecity,"Salt Lake City, Utah, USA",48530,136942,2.665052,0.743697,2.757472,0.769487,0.66129,175.0,4
buenosaires,"Buenos Aires, Argentina",45220,139744,3.50804,0.978937,3.461036,0.965821,0.067524,125.0,2
laplata,"La Plata, Argentina",4582,15776,2.516581,0.702265,2.263649,0.631683,0.735377,35.0,4
bogota,"Bogotá, Colombia",146783,436552,3.544126,0.989007,3.541429,0.988255,0.035536,125.0,0
barcelona,"Barcelona, Spain",73012,232592,3.498014,0.976139,3.499999,0.976693,0.076315,135.0,4
bologna,"Bologna, Italy",25127,67844,3.424399,0.955597,3.448495,0.962321,0.139593,15.0,4
turin,"Turin, Italy",30933,91442,3.443051,0.960802,3.467769,0.967699,0.123772,115.0,4
verona,"Verona, Italy",102666,270216,3.576353,0.998,3.57566,0.997807,0.006512,175.0,0
sarajevo,"Sarajevo, Bosnia and Herzegovina",13911,36532,3.50383,0.977763,3.542934,0.988675,0.07122,75.0,4
marrakesh,"Marrakesh, Morocco",30227,87428,3.512938,0.980304,3.529257,0.984858,0.063213,65.0,0
riga,"Riga, Latvia",113679,312192,3.577159,0.998225,3.577829,0.998412,0.005781,145.0,0
ghent,"Ghent, Belgium",26718,70532,3.57361,0.997235,3.571101,0.996535,0.009,55.0,0
lisbon,"Lisbon, Portugal",43731,127640,3.551569,0.991084,3.557188,0.992652,0.028871,175.0,0
bruges,"Bruges, Belgium",15464,41136,3.5413,0.988219,3.51892,0.981973,0.03806,165.0,0
fez,"Fez, Morocco",23594,70042,3.526656,0.984132,3.524156,0.983434,0.051089,65.0,4
casablanca,"Casablanca, Morocco",54682,164628,3.479028,0.970841,3.487247,0.973135,0.092851,55.0,4
jerusalem,"Jerusalem, Israel",29741,83422,3.574796,0.997566,3.57649,0.998038,0.007924,175.0,0
istanbul,"Istanbul, Turkey",203801,582598,3.572696,0.99698,3.574292,0.997425,0.009827,175.0,0
cairo,"Cairo, Egypt",263409,752212,3.536217,0.9868,3.534688,0.986374,0.042593,85.0,0
hanoi,"Hanoi, Vietnam",303058,780726,3.577516,0.998325,3.580017,0.999023,0.005456,175.0,0
bangkok,"Bangkok, Thailand",292263,686692,3.496671,0.975765,3.490546,0.974055,0.07749,175.0,4
bengaluru,"Bengaluru, Karnataka, India",180855,476400,3.270439,0.912633,3.314537,0.924939,0.264674,5.0,8
chennai,"Chennai, Tamil Nadu, India",74870,198918,3.123969,0.87176,3.180228,0.88746,0.374557,5.0,8
caracas,"Caracas, Venezuela",24865,64760,3.564779,0.99477,3.569662,0.996133,0.016985,95.0,0
quito,"Quito, Ecuador",116470,309960,3.556717,0.992521,3.567336,0.995484,0.024248,5.0,0
medellin,"Medellín, Colombia",46404,132752,3.509071,0.979225,3.529681,0.984976,0.066618,5.0,0
tbilisi,"Tbilisi, Georgia",79420,216436,3.562864,0.994236,3.556419,0.992438,0.018713,85.0,0
genoa,"Genoa, Italy",37996,99888,3.559568,0.993317,3.571453,0.996633,0.021682,15.0,0
bergen,"Bergen, Norway",72459,180358,3.576726,0.998105,3.556466,0.992451,0.006173,175.0,0
tehran,"Tehran, Iran",163061,425334,3.450687,0.962932,3.448398,0.962294,0.117254,95.0,6
lyon,"Lyon, France",33452,95340,3.522678,0.983022,3.522073,0.982853,0.054613,175.0,0
brasilia,"Brasília, Brazil",143353,397000,3.532809,0.985849,3.561371,0.993819,0.045625,155.0,4
chandigarh,"Chandigarh, India",15625,43956,3.002371,0.837828,3.058256,0.853423,0.459027,45.0,4
telaviv,"Tel Aviv-Yafo, Israel",19647,58288,3.496585,0.975741,3.468266,0.967838,0.077565,5.0,2
warsaw,"Warsaw, Poland",290157,786288,3.556048,0.992334,3.556315,0.992409,0.024849,85.0,0
rotterdam,"Rotterdam, Netherlands",40670,116022,3.550788,0.990866,3.555232,0.992107,0.029571,75.0,0
skopje,"Skopje, North Macedonia",17720,47780,3.528909,0.984761,3.539677,0.987766,0.049091,115.0,0
minsk,"Minsk, Belarus",177483,509026,3.564372,0.994657,3.568563,0.995826,0.017352,85.0,0
kyiv,"Kyiv, Ukraine",173627,508908,3.560283,0.993516,3.557451,0.992726,0.021039,85.0,0
lehavre,"Le Havre, France",13241,36690,3.518971,0.981987,3.519459,0.982124,0.057891,85.0,0
vienna,"Vienna, Austria",133457,374792,3.519598,0.982162,3.528749,0.984716,0.057337,15.0,0
munich,"Munich, Germany",149036,390310,3.477188,0.970328,3.503636,0.977708,0.094444,85.0,4
prague,"Prague, Czech Republic",162246,455488,3.513779,0.980539,3.523958,0.983379,0.062473,75.0,2
