patch_id,city_code,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex
adelaide_0651,adelaide,29,15240.61,9630.53,0.6319,0.9994,0.4458,0.4615,0.9996
adelaide_0982,adelaide,12,21925.12,15164.08,0.6916,0.9987,0.5225,0.5692,0.9979
adelaide_0717,adelaide,17,16479.8,10455.0,0.6344,0.997,0.4289,0.4563,0.996
adelaide_1330,adelaide,24,15785.39,9545.54,0.6047,0.9975,0.4128,0.4254,0.9965
adelaide_0934,adelaide,9,8196.89,4085.82,0.4985,0.9781,0.4379,0.4778,0.9835
adelaide_0546,adelaide,24,16518.27,11771.82,0.7127,0.9963,0.4239,0.4606,0.9934
adelaide_1250,adelaide,8,14738.59,16722.1,1.1346,0.9253,0.2909,0.3288,0.8977
adelaide_1113,adelaide,4,44532.38,18906.18,0.4245,0.9686,0.5516,0.7317,0.9498
adelaide_0209,adelaide,8,6559.34,5867.34,0.8945,0.9728,0.3346,0.4232,0.9843
adelaide_0819,adelaide,10,25865.9,13548.58,0.5238,0.9997,0.5026,0.5307,0.9996
adelaide_1331,adelaide,22,21326.43,26258.61,1.2313,0.9484,0.3336,0.4331,0.9416
adelaide_0993,adelaide,24,14530.25,10700.56,0.7364,0.9899,0.4462,0.5539,0.9878
adelaide_0212,adelaide,15,13747.6,11355.51,0.826,0.9551,0.4046,0.4838,0.9537
adelaide_1039,adelaide,6,25878.24,11603.27,0.4484,0.9906,0.4351,0.4389,0.9845
adelaide_0831,adelaide,16,19990.89,25796.56,1.2904,0.9866,0.322,0.3197,0.9843
adelaide_0248,adelaide,1,11662.31,0.0,0.0,0.9751,0.4334,0.465,0.9575
adelaide_0492,adelaide,13,8823.97,8222.49,0.9318,0.9154,0.3988,0.5247,0.9081
adelaide_0671,adelaide,6,2046.8,1577.69,0.7708,0.873,0.2131,0.3412,0.8668
adelaide_0139,adelaide,4,30984.65,13050.34,0.4212,0.9974,0.4601,0.4585,0.9823
adelaide_1364,adelaide,2,13233.08,12702.02,0.9599,1.0,0.8162,0.9265,0.9948
adelaide_0213,adelaide,14,20667.48,12653.16,0.6122,0.9571,0.373,0.4119,0.9476
adelaide_0432,adelaide,25,12220.65,13232.86,1.0828,0.9709,0.3724,0.4225,0.9709
adelaide_1241,adelaide,6,31767.66,12254.63,0.3858,0.951,0.3991,0.5157,0.9165
adelaide_0199,adelaide,1,21686.47,0.0,0.0,1.0,0.4842,0.4631,1.0
adelaide_0020,adelaide,2,902.34,60.87,0.0675,0.9984,0.1697,0.1377,0.9998
adelaide_1046,adelaide,7,35236.35,20391.62,0.5787,0.9958,0.4958,0.6355,0.9978
adelaide_1178,adelaide,2,22387.38,1826.21,0.0816,1.0,0.4586,0.4519,0.9974
adelaide_0989,adelaide,7,36041.63,11908.34,0.3304,1.0,0.4257,0.3928,0.9957
adelaide_0558,adelaide,9,33673.28,14822.1,0.4402,0.9926,0.5041,0.5754,0.9825
adelaide_0317,adelaide,13,19928.01,19631.95,0.9851,0.9325,0.4349,0.581,0.9306
adelaide_1182,adelaide,2,23435.94,14951.82,0.638,0.9189,0.5202,0.7789,0.8991
adelaide_0238,adelaide,5,7803.29,8226.12,1.0542,0.8175,0.2489,0.3535,0.7923
adelaide_0321,adelaide,11,5349.3,5200.45,0.9722,0.8918,0.3282,0.4463,0.8515
adelaide_0544,adelaide,10,13430.59,6433.08,0.479,0.9884,0.4879,0.6275,0.9898
adelaide_0132,adelaide,4,734.27,117.66,0.1602,0.6385,0.1807,0.5156,0.566
adelaide_1351,adelaide,4,9305.03,5803.71,0.6237,0.9897,0.5255,0.742,0.9818
adelaide_0973,adelaide,5,37722.75,21735.89,0.5762,0.9059,0.4138,0.5882,0.8801
adelaide_1483,adelaide,5,14297.26,2826.6,0.1977,1.0,0.5682,0.6609,0.9849
adelaide_0983,adelaide,16,12935.54,13351.94,1.0322,0.9365,0.3474,0.4419,0.9455
adelaide_1355,adelaide,12,19539.96,15775.83,0.8074,0.9875,0.4358,0.5031,0.9663
adelaide_0620,adelaide,8,5831.43,9765.63,1.6747,0.8349,0.262,0.3625,0.7904
adelaide_0812,adelaide,0,,,,,,,
adelaide_0897,adelaide,17,14834.3,12504.99,0.843,0.9053,0.5136,0.6461,0.8815
