patch_id,city_code,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
adelaide_0651,adelaide,753,0.214,181.89,165.62,16.28,4.78
adelaide_0982,adelaide,312,0.0936,191.97,166.68,21.03,12.69
adelaide_0717,adelaide,101,0.1196,757.89,4274.82,25.27,30.13
adelaide_1330,adelaide,130,0.0548,269.55,440.13,22.36,26.3
adelaide_0934,adelaide,630,0.2039,207.11,213.52,13.25,6.58
adelaide_0546,adelaide,78,0.0309,253.27,324.29,25.34,55.13
adelaide_1250,adelaide,309,0.0833,172.54,52.92,12.01,5.27
adelaide_1113,adelaide,52,0.0844,1039.22,1201.01,42.37,47.75
adelaide_0209,adelaide,165,0.0952,369.27,1269.08,22.4,33.07
adelaide_0819,adelaide,42,0.0249,379.91,510.28,32.72,26.57
adelaide_1331,adelaide,54,0.0271,320.82,517.91,36.34,39.71
adelaide_0993,adelaide,26,0.0099,243.83,124.41,24.64,27.88
adelaide_0212,adelaide,594,0.1487,160.19,187.96,14.51,9.1
adelaide_1039,adelaide,657,0.2273,221.45,127.03,17.01,5.32
adelaide_0831,adelaide,105,0.0691,420.91,607.59,32.27,22.25
adelaide_0248,adelaide,232,0.0962,265.48,212.56,18.3,6.37
adelaide_0492,adelaide,43,0.0497,740.46,1459.21,32.18,29.86
adelaide_0671,adelaide,44,0.1915,2785.87,4157.78,76.89,43.98
adelaide_0139,adelaide,222,0.0692,199.48,115.07,16.21,13.95
adelaide_1364,adelaide,0,0.0,,,,
adelaide_0213,adelaide,287,0.081,180.64,84.72,21.66,13.78
adelaide_0432,adelaide,86,0.028,208.64,176.31,23.7,32.07
adelaide_1241,adelaide,14,0.0144,659.73,1314.43,56.41,60.06
adelaide_0199,adelaide,444,0.1372,197.79,132.64,17.21,14.61
adelaide_0020,adelaide,10,0.002,125.24,73.16,63.33,90.96
adelaide_1046,adelaide,15,0.0232,989.08,1685.29,74.47,54.01
adelaide_1178,adelaide,95,0.0331,223.3,577.62,17.99,13.2
adelaide_0989,adelaide,156,0.0488,200.32,458.92,24.1,19.94
adelaide_0558,adelaide,98,0.0742,484.41,1017.05,27.49,22.1
adelaide_0317,adelaide,8,0.0046,367.72,566.75,92.28,107.77
adelaide_1182,adelaide,11,0.0033,193.99,109.95,61.21,57.76
adelaide_0238,adelaide,387,0.1172,193.81,72.39,19.08,4.16
adelaide_0321,adelaide,105,0.078,475.47,1684.82,18.79,14.26
adelaide_0544,adelaide,388,0.1296,213.77,358.97,19.06,11.47
adelaide_0132,adelaide,52,0.0382,470.31,1147.21,38.55,55.76
adelaide_1351,adelaide,11,0.0028,164.74,56.63,80.72,130.1
adelaide_0973,adelaide,228,0.0729,204.75,172.42,21.28,10.23
adelaide_1483,adelaide,0,0.0,,,,
adelaide_0983,adelaide,536,0.2247,268.28,428.8,17.4,11.53
adelaide_1355,adelaide,21,0.0188,574.15,571.8,56.01,76.8
adelaide_0620,adelaide,109,0.1683,988.31,1333.39,35.19,23.52
adelaide_0812,adelaide,256,0.0806,201.5,83.3,28.51,8.97
adelaide_0897,adelaide,231,0.0814,225.43,89.0,23.72,18.16
adelaide_1106,adelaide,83,0.0335,258.52,470.2,17.75,22.4
adelaide_0297,adelaide,435,0.135,198.69,93.12,20.39,6.22
adelaide_1436,adelaide,38,0.0234,393.54,310.13,29.86,13.98
adelaide_0792,adelaide,40,0.0275,439.9,390.15,29.8,20.94
