patch_id,city_code,circuity,total_network_length,total_straight_length,n_edges_in_circuity
adelaide_0651,adelaide,1.017722,14637.98,14383.08,241
adelaide_0982,adelaide,1.012065,9897.42,9779.43,147
adelaide_0717,adelaide,1.016547,9704.91,9546.94,161
adelaide_1330,adelaide,1.037535,12660.48,12202.46,211
adelaide_0934,adelaide,1.026112,18574.92,18102.24,453
adelaide_0546,adelaide,1.017371,10901.46,10715.32,162
adelaide_1250,adelaide,1.064293,13213.09,12414.9,201
adelaide_1113,adelaide,1.030832,7460.75,7237.61,106
adelaide_0209,adelaide,1.022784,3622.59,3541.9,59
adelaide_0819,adelaide,1.024777,6915.11,6747.91,79
adelaide_1331,adelaide,1.028756,15189.22,14764.66,306
adelaide_0993,adelaide,1.005512,9939.32,9884.84,160
adelaide_0212,adelaide,1.043486,10570.26,10129.75,229
adelaide_1039,adelaide,1.004051,16431.24,16364.94,382
adelaide_0831,adelaide,1.02046,10367.26,10159.39,196
adelaide_0248,adelaide,1.009418,2986.03,2958.17,53
adelaide_0492,adelaide,1.045043,12287.77,11758.14,260
adelaide_0671,adelaide,1.121266,6801.84,6066.22,116
adelaide_0139,adelaide,1.017208,12564.15,12351.6,277
adelaide_1364,adelaide,1.033375,2569.0,2486.03,70
adelaide_0213,adelaide,1.036386,9986.74,9636.12,149
adelaide_0432,adelaide,1.013949,13980.62,13788.29,287
adelaide_1241,adelaide,1.046827,11284.36,10779.58,196
adelaide_0199,adelaide,1.088663,12304.4,11302.3,232
adelaide_0020,adelaide,1.035685,3040.17,2935.41,90
adelaide_1046,adelaide,1.042035,8962.17,8600.65,171
adelaide_1178,adelaide,1.065318,10486.28,9843.33,268
adelaide_0989,adelaide,1.041558,14609.76,14026.83,479
adelaide_0558,adelaide,1.033505,13039.64,12616.91,250
adelaide_0317,adelaide,1.040899,10485.49,10073.5,160
adelaide_1182,adelaide,1.039215,4318.06,4155.12,113
adelaide_0238,adelaide,1.117056,7998.08,7159.97,96
adelaide_0321,adelaide,1.035402,17748.72,17141.86,377
adelaide_0544,adelaide,1.039767,8335.14,8016.36,160
adelaide_0132,adelaide,1.114938,3105.5,2785.36,74
adelaide_1351,adelaide,1.160068,6724.85,5796.95,76
adelaide_0973,adelaide,1.031494,8369.1,8113.58,97
adelaide_1483,adelaide,1.084262,9944.45,9171.63,119
adelaide_0983,adelaide,1.045983,23510.55,22476.98,686
adelaide_1355,adelaide,1.044037,12634.67,12101.75,219
adelaide_0620,adelaide,1.068608,6725.36,6293.57,138
adelaide_0812,adelaide,1.148474,3678.65,3203.07,39
adelaide_0897,adelaide,1.073623,24835.38,23132.32,693
adelaide_1106,adelaide,1.08423,8538.3,7874.99,184
adelaide_0297,adelaide,1.094877,5786.82,5285.36,64
adelaide_1436,adelaide,1.066452,9469.94,8879.86,144
adelaide_0792,adelaide,1.062737,4212.02,3963.37,102
adelaide_0585,adelaide,1.05851,9510.11,8984.43,130
adelaide_0124,adelaide,1.037636,20177.5,19445.64,636
adelaide_1285,adelaide,1.074552,10035.4,9339.15,124
adelaide_1376,adelaide,1.131274,6139.25,5426.85,46
adelaide_1533,adelaide,1.04642,9052.12,8650.56,173
amsterdam_0238,amsterdam,1.037926,10423.16,10042.29,291
amsterdam_0114,amsterdam,1.050913,18172.95,17292.54,414
amsterdam_0036,amsterdam,1.032033,22848.36,22139.18,644
amsterdam_0018,amsterdam,1.047281,5395.45,5151.87,103
amsterdam_0155,amsterdam,1.060117,20141.39,18999.21,516
amsterdam_0164,amsterdam,1.049676,13524.28,12884.24,341
amsterdam_0103,amsterdam,1.025064,13770.27,13433.57,314
amsterdam_0120,amsterdam,1.029298,17032.42,16547.6,400
amsterdam_0156,amsterdam,1.041711,10726.62,10297.12,276
amsterdam_0167,amsterdam,1.030393,18276.32,17737.23,562
bangkok_0857,bangkok,1.006932,10104.01,10034.45,120
bangkok_1326,bangkok,1.021818,7981.4,7810.98,179
bangkok_1365,bangkok,1.049143,7985.39,7611.35,138
bangkok_1515,bangkok,1.033103,10162.82,9837.18,171
bangkok_2262,bangkok,1.006736,9173.26,9111.88,100
bangkok_1415,bangkok,1.047616,10341.23,9871.21,116
bangkok_1967,bangkok,1.025159,6465.73,6307.05,99
bangkok_1658,bangkok,1.045214,6936.81,6636.73,107
bangkok_0889,bangkok,1.02984,9680.82,9400.31,147
bangkok_0858,bangkok,1.023594,13171.71,12868.1,234
bangkok_2352,bangkok,1.020124,3206.75,3143.49,72
bangkok_1044,bangkok,1.056777,8922.76,8443.37,110
bangkok_0970,bangkok,1.069633,9913.52,9268.15,184
bangkok_1064,bangkok,1.026712,12137.97,11822.18,178
bangkok_1715,bangkok,1.054869,5537.1,5249.09,90
bangkok_0011,bangkok,1.048802,5625.62,5363.85,101
bangkok_1023,bangkok,1.064179,10904.64,10247.0,164
bangkok_1707,bangkok,1.059158,6103.14,5762.26,94
bangkok_1486,bangkok,1.029018,7940.91,7716.97,109
bangkok_0705,bangkok,1.009949,6127.68,6067.32,103
bangkok_0754,bangkok,1.049828,8206.54,7817.03,139
bangkok_2346,bangkok,1.021648,5163.39,5053.98,68
bangkok_1890,bangkok,1.035537,6293.94,6077.94,87
bangkok_1705,bangkok,1.074988,6278.17,5840.22,85
bangkok_0524,bangkok,1.03118,10260.89,9950.62,210
bangkok_0901,bangkok,1.03007,9946.75,9656.38,216
bangkok_0440,bangkok,1.038199,4608.07,4438.52,112
bangkok_1299,bangkok,1.096245,4474.2,4081.38,62
bangkok_1811,bangkok,1.039355,4533.41,4361.75,72
bangkok_0815,bangkok,1.036375,9784.05,9440.64,212
bangkok_1732,bangkok,1.021484,7010.38,6862.94,124
bangkok_0016,bangkok,1.043913,8169.76,7826.09,129
bangkok_2204,bangkok,1.038123,9091.41,8757.54,140
bangkok_0114,bangkok,1.023826,9544.26,9322.14,168
bangkok_1101,bangkok,1.026853,12962.27,12623.3,205
bangkok_0910,bangkok,1.080863,10867.99,10054.92,165
bangkok_0152,bangkok,1.026546,10152.42,9889.88,167
bangkok_0636,bangkok,1.073499,9191.57,8562.26,161
bangkok_0637,bangkok,1.043445,13530.98,12967.61,283
bangkok_0913,bangkok,1.063387,14830.47,13946.46,275
bangkok_0155,bangkok,1.046626,5049.06,4824.13,82
bangkok_0201,bangkok,1.045676,10074.54,9634.48,192
bangkok_1579,bangkok,1.04561,9615.35,9195.92,190
bangkok_0949,bangkok,1.105912,12349.26,11166.59,257
bangkok_2131,bangkok,1.045852,5537.19,5294.43,78
bangkok_0852,bangkok,1.153887,15833.45,13721.83,186
bangkok_0263,bangkok,1.030161,8834.1,8575.46,193
bangkok_1896,bangkok,1.029033,6984.42,6787.36,105
bangkok_1287,bangkok,1.042001,6746.89,6474.94,125
bangkok_0968,bangkok,1.147128,8604.56,7500.96,132
bangkok_0755,bangkok,1.082092,10540.1,9740.48,243
bangkok_1090,bangkok,1.094363,4919.77,4495.56,79
bangkok_0455,bangkok,1.057509,10529.27,9956.66,213
bangkok_0438,bangkok,1.047912,8101.7,7731.28,170
bangkok_1114,bangkok,1.066295,14029.75,13157.48,230
bangkok_0430,bangkok,1.107804,14655.27,13229.12,302
bangkok_0493,bangkok,1.054721,10119.28,9594.27,209
bangkok_0690,bangkok,1.047511,10971.64,10474.01,244
bangkok_0511,bangkok,1.05435,6911.47,6555.19,110
bangkok_0599,bangkok,1.065377,15537.6,14584.14,310
bangkok_0549,bangkok,1.064293,14503.07,13626.95,330
barcelona_0142,barcelona,1.026906,23879.44,23253.78,957
barcelona_0100,barcelona,1.025935,35267.06,34375.55,1390
barcelona_0160,barcelona,1.027397,32505.58,31638.76,1071
barcelona_0167,barcelona,1.022966,23179.86,22659.46,764
barcelona_0042,barcelona,1.112574,13587.53,12212.69,285
barcelona_0050,barcelona,1.009567,35982.87,35641.89,1361
barcelona_0115,barcelona,1.032259,32444.86,31430.94,1139
barcelona_0132,barcelona,1.016626,38346.17,37719.07,1569
barcelona_0015,barcelona,1.165126,13907.11,11936.14,254
barcelona_0081,barcelona,1.097492,27819.54,25348.29,885
bengaluru_0487,bengaluru,1.03467,12103.61,11698.05,201
bengaluru_0969,bengaluru,1.085624,13409.66,12352.03,191
bengaluru_0170,bengaluru,1.01711,10278.24,10105.33,161
bengaluru_0569,bengaluru,1.041938,13649.08,13099.7,223
bengaluru_0894,bengaluru,1.020665,12176.17,11929.64,211
bengaluru_0925,bengaluru,1.034329,6021.55,5821.7,106
bengaluru_0031,bengaluru,1.027969,15244.87,14830.09,260
bengaluru_0500,bengaluru,1.038338,9994.4,9625.38,209
bengaluru_0461,bengaluru,1.038848,11236.49,10816.29,233
bengaluru_0074,bengaluru,1.013491,15654.85,15446.46,281
bengaluru_0077,bengaluru,1.037892,9633.36,9281.65,155
bengaluru_0236,bengaluru,1.021868,21161.15,20708.3,456
bengaluru_0043,bengaluru,1.025576,12475.71,12164.59,218
bengaluru_0674,bengaluru,1.053455,8677.62,8237.3,107
bengaluru_0330,bengaluru,1.080541,12542.23,11607.36,195
bengaluru_0743,bengaluru,1.019627,10568.23,10364.8,212
bengaluru_0051,bengaluru,1.012905,13852.47,13675.98,213
bengaluru_0695,bengaluru,1.021837,17492.18,17118.37,506
