patch_id,city_code,distance_to_center_km
adelaide_0651,adelaide,7.811
adelaide_0982,adelaide,3.395
adelaide_0717,adelaide,4.958
adelaide_1330,adelaide,7.99
adelaide_0934,adelaide,1.426
adelaide_0546,adelaide,7.79
adelaide_1250,adelaide,29.916
adelaide_1113,adelaide,14.727
adelaide_0209,adelaide,13.609
adelaide_0819,adelaide,4.976
adelaide_1331,adelaide,8.403
adelaide_0993,adelaide,6.608
adelaide_0212,adelaide,15.493
adelaide_1039,adelaide,3.02
adelaide_0831,adelaide,4.629
adelaide_0248,adelaide,10.495
adelaide_0492,adelaide,5.183
adelaide_0671,adelaide,9.004
adelaide_0139,adelaide,9.885
adelaide_1364,adelaide,31.805
adelaide_0213,adelaide,16.152
adelaide_0432,adelaide,6.527
adelaide_1241,adelaide,22.873
adelaide_0199,adelaide,9.254
adelaide_0020,adelaide,41.971
adelaide_1046,adelaide,6.207
adelaide_1178,adelaide,19.575
adelaide_0989,adelaide,3.75
adelaide_0558,adelaide,5.163
adelaide_0317,adelaide,7.519
adelaide_1182,adelaide,22.697
adelaide_0238,adelaide,19.563
adelaide_0321,adelaide,8.712
adelaide_0544,adelaide,9.18
adelaide_0132,adelaide,23.138
adelaide_1351,adelaide,21.783
adelaide_0973,adelaide,10.02
adelaide_1483,adelaide,27.11
adelaide_0983,adelaide,2.838
adelaide_1355,adelaide,24.834
adelaide_0620,adelaide,8.525
adelaide_0812,adelaide,10.573
adelaide_0897,adelaide,12.639
adelaide_1106,adelaide,9.431
adelaide_0297,adelaide,17.775
adelaide_1436,adelaide,16.629
adelaide_0792,adelaide,21.445
adelaide_0585,adelaide,20.451
adelaide_0124,adelaide,29.063
adelaide_1285,adelaide,15.523
adelaide_1376,adelaide,7.84
adelaide_1533,adelaide,21.294
amsterdam_0238,amsterdam,6.968
amsterdam_0114,amsterdam,4.897
amsterdam_0036,amsterdam,7.201
amsterdam_0018,amsterdam,8.55
amsterdam_0155,amsterdam,4.074
amsterdam_0164,amsterdam,1.407
amsterdam_0103,amsterdam,3.088
amsterdam_0120,amsterdam,1.208
amsterdam_0156,amsterdam,4.871
amsterdam_0167,amsterdam,2.04
bangkok_0857,bangkok,13.927
bangkok_1326,bangkok,24.703
bangkok_1365,bangkok,25.234
bangkok_1515,bangkok,22.62
bangkok_2262,bangkok,41.001
bangkok_1415,bangkok,18.588
bangkok_1967,bangkok,36.414
bangkok_1658,bangkok,24.192
bangkok_0889,bangkok,17.872
bangkok_0858,bangkok,14.638
bangkok_2352,bangkok,43.876
bangkok_1044,bangkok,14.193
bangkok_0970,bangkok,9.982
bangkok_1064,bangkok,13.602
bangkok_1715,bangkok,25.79
bangkok_0011,bangkok,18.173
bangkok_1023,bangkok,12.942
bangkok_1707,bangkok,28.957
bangkok_1486,bangkok,20.199
bangkok_0705,bangkok,12.772
bangkok_0754,bangkok,9.687
bangkok_2346,bangkok,42.96
bangkok_1890,bangkok,30.614
bangkok_1705,bangkok,28.18
bangkok_0524,bangkok,3.088
bangkok_0901,bangkok,8.161
bangkok_0440,bangkok,5.601
bangkok_1299,bangkok,16.417
bangkok_1811,bangkok,28.765
bangkok_0815,bangkok,5.779
bangkok_1732,bangkok,28.537
bangkok_0016,bangkok,18.697
bangkok_2204,bangkok,40.466
bangkok_0114,bangkok,14.183
bangkok_1101,bangkok,13.178
bangkok_0910,bangkok,11.072
bangkok_0152,bangkok,13.353
bangkok_0636,bangkok,2.692
bangkok_0637,bangkok,3.491
bangkok_0913,bangkok,12.817
bangkok_0155,bangkok,20.979
bangkok_0201,bangkok,12.625
bangkok_1579,bangkok,24.986
bangkok_0949,bangkok,13.944
bangkok_2131,bangkok,37.421
bangkok_0852,bangkok,10.567
bangkok_0263,bangkok,9.884
bangkok_1896,bangkok,31.279
bangkok_1287,bangkok,24.811
bangkok_0968,bangkok,10.439
bangkok_0755,bangkok,9.474
bangkok_1090,bangkok,12.711
bangkok_0455,bangkok,11.861
bangkok_0438,bangkok,6.175
bangkok_1114,bangkok,19.689
bangkok_0430,bangkok,10.789
bangkok_0493,bangkok,4.824
bangkok_0690,bangkok,2.065
bangkok_0511,bangkok,11.331
bangkok_0599,bangkok,5.352
bangkok_0549,bangkok,3.083
barcelona_0142,barcelona,1.327
barcelona_0100,barcelona,2.794
barcelona_0160,barcelona,3.797
barcelona_0167,barcelona,3.191
barcelona_0042,barcelona,7.32
barcelona_0050,barcelona,3.689
barcelona_0115,barcelona,3.316
barcelona_0132,barcelona,4.092
barcelona_0015,barcelona,6.916
barcelona_0081,barcelona,2.584
bengaluru_0487,bengaluru,6.514
