city_code,n_original,n_kept,n_dropped,threshold_int_count,min_int_count,median_int_count,max_int_count,kept_pct
hanoi,4714,3340,1374,22.0,2,39,942,70.9
verona,3294,2375,919,9.0,1,15,505,72.1
istanbul,3309,2339,970,9.0,1,18,475,70.7
thessaloniki,2782,2067,715,6.0,1,10,410,74.3
brasilia,2587,1872,715,9.0,2,22,696,72.4
bangkok,2441,1717,724,64.0,2,113,720,70.3
cairo,2135,1506,629,24.0,0,61,1337,70.5
phoenix,1789,1256,533,47.0,2,90,976,70.2
quito,1708,1207,501,13.0,2,30,914,70.7
houston,1620,1141,479,53.0,4,87,1160,70.4
adelaide,1628,1140,488,33.0,2,87,1175,70.0
lasvegas,1271,892,379,74.0,2,110,748,70.2
kyiv,1235,878,357,18.0,2,51,973,71.1
orlando,1197,845,352,39.0,3,66,802,70.6
bengaluru,1160,814,346,95.0,5,155,528,70.2
tehran,1033,726,307,75.0,2,128,1098,70.3
chicago,963,674,289,236.6,3,354,1112,70.0
tashkent,903,633,270,38.0,3,85,905,70.1
warsaw,863,608,255,81.0,4,177,2041,70.5
minneapolis,864,607,257,85.0,4,141,854,70.3
budapest,836,590,246,50.0,3,85,1579,70.6
leeds,811,574,237,24.0,2,61,906,70.8
detroit,793,556,237,111.0,5,173,995,70.1
prague,767,539,228,55.0,2,131,1302,70.3
sapporo,723,509,214,37.0,2,122,963,70.4
toronto,717,505,212,119.0,4,183,950,70.4
tbilisi,714,501,213,22.0,2,50,758,70.2
chennai,691,483,208,62.0,3,112,340,69.9
kyoto,663,473,190,12.0,2,53,863,71.3
bogota,666,466,200,153.5,3,230,592,70.0
bergen,663,466,197,22.0,2,49,1183,70.3
vienna,650,457,193,54.0,3,155,1494,70.3
vilnius,634,444,190,35.9,2,67,974,70.0
cologne,634,444,190,48.9,2,123,777,70.0
cleveland,590,415,175,128.0,4,188,1424,70.3
portland,574,403,171,54.0,2,104,823,70.2
minsk,566,397,169,86.0,3,253,1855,70.1
sofia,538,382,156,17.0,2,63,1557,71.0
denver,537,376,161,105.8,4,184,994,70.0
munich,519,363,156,117.4,3,267,1032,69.9
riga,479,338,141,48.0,4,115,1219,70.6
bratislava,475,333,142,23.0,2,47,1246,70.1
birmingham,456,320,136,90.0,4,129,776,70.2
seattle,445,314,131,135.0,6,255,1061,70.6
caracas,425,299,126,25.0,3,48,317,70.4
medellin,423,299,124,20.0,3,47,562,70.7
bucharest,387,273,114,61.0,4,131,535,70.5
casablanca,365,256,109,81.0,4,124,728,70.1
genoa,354,251,103,16.0,2,36,926,70.9
buenosaires,351,247,104,78.0,3,104,1168,70.4
saltlakecity,296,208,88,42.0,3,112,741,70.3
marrakesh,288,204,84,22.0,2,64,524,70.8
amsterdam,265,185,80,56.2,2,173,742,69.8
tallinn,254,178,76,74.9,3,152,1317,70.1
stockholm,237,166,71,103.6,6,189,742,70.0
ghent,223,156,67,40.2,5,79,824,70.0
turin,221,154,67,48.0,6,122,610,69.7
dublin,215,151,64,143.0,2,204,881,70.2
rotterdam,216,151,65,95.5,5,169,984,69.9
vancouver,215,150,65,185.0,6,276,753,69.8
bologna,204,148,56,20.0,2,57,663,72.5
jerusalem,206,144,62,56.5,3,119,523,69.9
bruges,188,133,55,15.0,3,39,513,70.7
chandigarh,184,129,55,50.8,3,76,210,70.1
miami,185,129,56,119.2,5,207,679,69.7
barcelona,180,126,54,113.7,5,410,1163,70.0
skopje,172,120,52,31.3,4,71,384,69.8
fez,167,118,49,70.0,5,134,517,70.7
lisbon,158,111,47,150.0,2,252,1010,70.3
helsinki,147,103,44,269.8,5,426,3088,70.1
sarajevo,126,88,38,27.5,6,61,524,69.8
manhattan,115,80,35,215.4,4,318,1135,69.6
telaviv,108,75,33,103.5,5,174,498,69.4
lyon,99,69,30,168.8,3,299,1355,69.7
lehavre,95,67,28,56.0,5,107,430,70.5
brussels,71,49,22,74.0,4,167,888,69.0
macau,69,49,20,67.0,5,114,753,71.0
mendoza,68,47,21,30.1,3,59,204,69.1
laplata,59,41,18,51.8,7,77,256,69.5
