city_code,n_before_floor,n_after_floor,n_dropped,kept_pct
hanoi,3340,2846,494,85.2
bangkok,1717,1717,0,100.0
cairo,1506,1403,103,93.2
istanbul,2339,1339,1000,57.2
phoenix,1256,1256,0,100.0
houston,1141,1141,0,100.0
adelaide,1140,1140,0,100.0
brasilia,1872,1138,734,60.8
lasvegas,892,892,0,100.0
quito,1207,865,342,71.7
verona,2375,856,1519,36.0
orlando,845,845,0,100.0
bengaluru,814,814,0,100.0
kyiv,878,751,127,85.5
tehran,726,726,0,100.0
chicago,674,674,0,100.0
thessaloniki,2067,659,1408,31.9
tashkent,633,633,0,100.0
warsaw,608,608,0,100.0
minneapolis,607,607,0,100.0
budapest,590,590,0,100.0
detroit,556,556,0,100.0
prague,539,539,0,100.0
leeds,574,534,40,93.0
sapporo,509,509,0,100.0
toronto,505,505,0,100.0
chennai,483,483,0,100.0
bogota,466,466,0,100.0
vienna,457,457,0,100.0
tbilisi,501,453,48,90.4
cologne,444,444,0,100.0
vilnius,444,444,0,100.0
cleveland,415,415,0,100.0
bergen,466,409,57,87.8
portland,403,403,0,100.0
minsk,397,397,0,100.0
kyoto,473,378,95,79.9
denver,376,376,0,100.0
munich,363,363,0,100.0
riga,338,338,0,100.0
sofia,382,331,51,86.6
birmingham,320,320,0,100.0
seattle,314,314,0,100.0
bratislava,333,291,42,87.4
caracas,299,283,16,94.6
bucharest,273,273,0,100.0
medellin,299,257,42,86.0
casablanca,256,256,0,100.0
buenosaires,247,247,0,100.0
saltlakecity,208,208,0,100.0
genoa,251,193,58,76.9
amsterdam,185,185,0,100.0
marrakesh,204,183,21,89.7
tallinn,178,178,0,100.0
stockholm,166,166,0,100.0
ghent,156,156,0,100.0
turin,154,154,0,100.0
dublin,151,151,0,100.0
rotterdam,151,151,0,100.0
vancouver,150,150,0,100.0
jerusalem,144,144,0,100.0
bologna,148,130,18,87.8
chandigarh,129,129,0,100.0
miami,129,129,0,100.0
barcelona,126,126,0,100.0
skopje,120,120,0,100.0
fez,118,118,0,100.0
lisbon,111,111,0,100.0
bruges,133,103,30,77.4
helsinki,103,103,0,100.0
sarajevo,88,84,4,95.5
manhattan,80,80,0,100.0
telaviv,75,75,0,100.0
lyon,69,69,0,100.0
lehavre,67,67,0,100.0
brussels,49,49,0,100.0
macau,49,49,0,100.0
mendoza,47,47,0,100.0
laplata,41,41,0,100.0
