city_code,n_before_filter,n_after_filter,n_dropped,kept_pct
hanoi,2846,2298,548,80.7
istanbul,1339,1110,229,82.9
phoenix,1256,1105,151,88.0
cairo,1403,1102,301,78.5
adelaide,1140,1004,136,88.1
houston,1141,982,159,86.1
brasilia,1138,906,232,79.6
bangkok,1717,817,900,47.6
lasvegas,892,734,158,82.3
bengaluru,814,704,110,86.5
verona,856,701,155,81.9
chicago,674,660,14,97.9
kyiv,751,649,102,86.4
quito,865,634,231,73.3
orlando,845,634,211,75.0
tehran,726,622,104,85.7
thessaloniki,659,566,93,85.9
warsaw,608,537,71,88.3
detroit,556,529,27,95.1
tashkent,633,525,108,82.9
budapest,590,516,74,87.5
minneapolis,607,498,109,82.0
prague,539,456,83,84.6
sapporo,509,452,57,88.8
toronto,505,449,56,88.9
leeds,534,443,91,83.0
bogota,466,429,37,92.1
chennai,483,429,54,88.8
cologne,444,402,42,90.5
vienna,457,383,74,83.8
cleveland,415,381,34,91.8
vilnius,444,366,78,82.4
minsk,397,363,34,91.4
portland,403,362,41,89.8
tbilisi,453,352,101,77.7
kyoto,378,348,30,92.1
denver,376,345,31,91.8
munich,363,344,19,94.8
bergen,409,292,117,71.4
birmingham,320,286,34,89.4
sofia,331,280,51,84.6
seattle,314,276,38,87.9
riga,338,271,67,80.2
bratislava,291,246,45,84.5
bucharest,273,246,27,90.1
casablanca,256,242,14,94.5
buenosaires,247,231,16,93.5
medellin,257,199,58,77.4
caracas,283,174,109,61.5
saltlakecity,208,174,34,83.7
marrakesh,183,160,23,87.4
vancouver,150,147,3,98.0
genoa,193,145,48,75.1
tallinn,178,144,34,80.9
amsterdam,185,139,46,75.1
turin,154,132,22,85.7
dublin,151,122,29,80.8
barcelona,126,121,5,96.0
rotterdam,151,120,31,79.5
miami,129,118,11,91.5
jerusalem,144,118,26,81.9
stockholm,166,115,51,69.3
ghent,156,115,41,73.7
fez,118,112,6,94.9
chandigarh,129,105,24,81.4
lisbon,111,104,7,93.7
bologna,130,99,31,76.2
skopje,120,96,24,80.0
bruges,103,85,18,82.5
manhattan,80,79,1,98.8
helsinki,103,77,26,74.8
telaviv,75,74,1,98.7
lyon,69,67,2,97.1
sarajevo,84,65,19,77.4
lehavre,67,56,11,83.6
brussels,49,47,2,95.9
mendoza,47,45,2,95.7
macau,49,43,6,87.8
laplata,41,41,0,100.0
