patch_id,city_code,n_nodes_used,n_edges_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density
adelaide_0651,adelaide,157,241,55,68,10,0.350318,0.433121,0.063694,3.0701,60.74,14637.98,0.275081,245.31,22.8718
adelaide_0982,adelaide,107,147,21,55,17,0.196262,0.514019,0.158879,2.7477,67.33,9897.42,0.196172,167.19,15.4647
adelaide_0717,adelaide,109,161,33,49,11,0.302752,0.449541,0.100917,2.9541,60.28,9704.91,0.248826,170.31,15.1639
adelaide_1330,adelaide,144,211,40,70,16,0.277778,0.486111,0.111111,2.9306,60.0,12660.48,0.240283,225.0,19.782
adelaide_0934,adelaide,324,453,88,147,65,0.271605,0.453704,0.200617,2.7963,41.0,18574.92,0.202177,506.25,29.0233
adelaide_0546,adelaide,114,162,33,49,19,0.289474,0.429825,0.166667,2.8421,67.29,10901.46,0.219731,178.12,17.0335
adelaide_1250,adelaide,161,201,28,67,43,0.173913,0.416149,0.267081,2.4969,65.74,13213.09,0.129338,251.56,20.6455
adelaide_1113,adelaide,94,108,4,46,29,0.042553,0.489362,0.308511,2.2979,70.92,7659.56,0.081967,146.87,11.9681
adelaide_0209,adelaide,39,59,11,19,1,0.282051,0.487179,0.025641,3.0256,61.4,3622.59,0.287671,60.94,5.6603
adelaide_0819,adelaide,61,79,0,43,7,0.0,0.704918,0.114754,2.5902,87.53,6915.11,0.162393,95.31,10.8049
adelaide_1331,adelaide,207,306,57,108,24,0.275362,0.521739,0.115942,2.9565,49.64,15189.22,0.244499,323.44,23.7332
adelaide_0993,adelaide,111,162,21,66,9,0.189189,0.594595,0.081081,2.9189,62.66,10150.54,0.239631,173.44,15.8602
adelaide_0212,adelaide,168,229,33,88,32,0.196429,0.52381,0.190476,2.7262,46.16,10570.26,0.187311,262.5,16.516
adelaide_1039,adelaide,245,382,85,116,12,0.346939,0.473469,0.04898,3.1184,43.01,16431.24,0.284536,382.81,25.6738
adelaide_0831,adelaide,137,196,26,82,16,0.189781,0.59854,0.116788,2.8613,52.89,10367.26,0.223048,214.06,16.1988
adelaide_0248,adelaide,48,53,2,24,18,0.041667,0.5,0.375,2.2083,56.34,2986.03,0.065934,75.0,4.6657
adelaide_0492,adelaide,179,260,45,95,23,0.251397,0.530726,0.128492,2.905,47.26,12287.77,0.232295,279.69,19.1996
adelaide_0671,adelaide,90,122,14,42,15,0.155556,0.466667,0.166667,2.7111,76.59,9344.31,0.188571,140.62,14.6005
adelaide_0139,adelaide,185,277,48,103,15,0.259459,0.556757,0.081081,2.9946,45.36,12564.15,0.254795,289.06,19.6315
adelaide_1364,adelaide,57,70,10,24,18,0.175439,0.421053,0.315789,2.4561,36.7,2569.0,0.12844,89.06,4.0141
adelaide_0213,adelaide,99,151,20,65,4,0.20202,0.656566,0.040404,3.0505,67.41,10178.57,0.274611,154.69,15.904
adelaide_0432,adelaide,211,287,50,100,48,0.236967,0.473934,0.227488,2.7204,48.71,13980.62,0.184652,329.69,21.8447
adelaide_1241,adelaide,137,196,32,70,16,0.233577,0.510949,0.116788,2.8613,57.57,11284.36,0.223048,214.06,17.6318
adelaide_0199,adelaide,186,232,49,60,66,0.263441,0.322581,0.354839,2.4946,53.04,12304.4,0.128065,290.62,19.2256
adelaide_0020,adelaide,61,90,20,27,9,0.327869,0.442623,0.147541,2.9508,33.78,3040.17,0.25641,95.31,4.7503
adelaide_1046,adelaide,126,171,18,74,20,0.142857,0.587302,0.15873,2.7143,52.41,8962.17,0.186235,196.87,14.0034
adelaide_1178,adelaide,210,270,35,101,55,0.166667,0.480952,0.261905,2.5714,39.63,10700.01,0.146988,328.12,16.7188
