patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used
chicago_0338,chicago,338,41.704967,-87.703029,441108.44,4616858.65,441908.44,4617658.65,EPSG:32616,1234,323,323,1,323,1.0,1.592737,0.444462,1.554809,0.433878,0.991172,1138
chandigarh_0157,chandigarh,157,30.693441,76.81819,673742.34,3396638.99,674542.34,3397438.99,EPSG:32643,680,210,210,8,183,0.8714,1.537245,0.428976,1.681372,0.469196,0.99528,572
chicago_0085,chicago,85,41.798135,-87.781081,434708.44,4627258.65,435508.44,4628058.65,EPSG:32616,1020,253,253,1,253,1.0,1.397979,0.390113,1.324571,0.369629,0.999972,924
chicago_0637,chicago,637,41.755742,-87.645845,445908.44,4622458.65,446708.44,4623258.65,EPSG:32616,1644,416,416,6,411,0.988,1.513252,0.422281,1.50722,0.420598,0.996661,1480
chicago_0582,chicago,582,41.726867,-87.655175,445108.44,4619258.65,445908.44,4620058.65,EPSG:32616,1572,381,381,1,381,1.0,1.415592,0.395028,1.343029,0.374779,0.999822,1388
chicago_0348,chicago,348,41.798633,-87.704052,441108.44,4627258.65,441908.44,4628058.65,EPSG:32616,1812,461,461,1,461,1.0,1.496093,0.417493,1.492858,0.41659,0.997503,1642
vancouver_0026,vancouver,26,49.239989,-123.174336,486909.99,5453749.41,487709.99,5454549.41,EPSG:32610,840,214,214,1,214,1.0,1.445705,0.403432,1.329163,0.37091,0.999269,718
cleveland_0462,cleveland,462,41.45969,-81.585431,450707.88,4589554.41,451507.88,4590354.41,EPSG:32617,538,130,130,3,128,0.9846,1.477594,0.41233,1.387107,0.38708,0.998273,428
vancouver_0173,vancouver,173,49.276089,-123.05348,495709.99,5457749.41,496509.99,5458549.41,EPSG:32610,1146,321,321,4,318,0.9907,1.457721,0.406785,1.379889,0.385065,0.998943,1004
chicago_0642,chicago,642,41.791768,-87.646207,445908.44,4626458.65,446708.44,4627258.65,EPSG:32616,1840,466,466,1,466,1.0,1.502382,0.419248,1.443544,0.402829,0.997209,1692
chicago_0255,chicago,255,41.740873,-87.722662,439508.44,4620858.65,440308.44,4621658.65,EPSG:32616,1570,411,411,3,403,0.9805,1.591623,0.444151,1.67214,0.46662,0.991267,1402
chicago_0833,chicago,833,41.748797,-87.597666,449908.44,4621658.65,450708.44,4622458.65,EPSG:32616,1524,386,386,1,386,1.0,1.586191,0.442635,1.566674,0.437189,0.991723,1364
manhattan_0067,manhattan,67,40.775724,-73.956652,587644.69,4513984.38,588444.69,4514784.38,EPSG:32618,876,218,218,1,218,1.0,1.450284,0.404709,1.372908,0.383117,0.999152,726
detroit_0706,detroit,706,42.436375,-82.947014,339456.5,4699664.74,340256.5,4700464.74,EPSG:32617,1030,259,259,4,256,0.9884,1.498372,0.418129,1.441684,0.40231,0.997398,888
portland_0323,portland,323,45.56603,-122.636616,527956.84,5045496.47,528756.84,5046296.47,EPSG:32610,634,171,171,2,163,0.9532,1.399191,0.390452,1.340537,0.374084,0.999966,514
portland_0343,portland,343,45.558796,-122.626412,528756.84,5044696.47,529556.84,5045496.47,EPSG:32610,334,88,88,1,88,1.0,1.572278,0.438752,1.524322,0.42537,0.992835,262
detroit_0066,detroit,66,42.431615,-83.209447,317856.5,4699664.74,318656.5,4700464.74,EPSG:32617,1600,401,401,1,401,1.0,1.585896,0.442553,1.452392,0.405298,0.991748,1436
detroit_0179,detroit,179,42.216366,-83.163156,321056.5,4675664.74,321856.5,4676464.74,EPSG:32617,1544,403,403,2,402,0.9975,1.591593,0.444142,1.62111,0.452379,0.99127,1402
chicago_0675,chicago,675,41.690949,-87.635583,446708.44,4615258.65,447508.44,4616058.65,EPSG:32616,1478,378,378,9,368,0.9735,1.573575,0.439115,1.556713,0.434409,0.992735,1280
chicago_0639,chicago,639,41.770152,-87.64599,445908.44,4624058.65,446708.44,4624858.65,EPSG:32616,2120,552,552,1,552,1.0,1.556079,0.434232,1.432006,0.399609,0.994029,1938
manhattan_0066,manhattan,66,40.768518,-73.956764,587644.69,4513184.38,588444.69,4513984.38,EPSG:32618,906,251,251,2,250,0.996,1.523766,0.425215,1.424608,0.397544,0.996086,758
chicago_0769,chicago,769,41.755901,-87.616978,448308.44,4622458.65,449108.44,4623258.65,EPSG:32616,1542,381,381,1,381,1.0,1.488769,0.415449,1.433192,0.39994,0.997825,1382
