patch_id,city_code,entropy_normalised,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_edge_length,total_edge_length,circuity,distance_to_center_km
chicago_0338,chicago,0.444462,109,7,0.603715,0.337461,0.021672,38.81,22082.51,1.006612,20.043
chandigarh_0157,chandigarh,0.428976,141,5,0.191257,0.770492,0.027322,26.78,7659.62,1.011909,5.766
chicago_0085,chicago,0.390113,72,0,0.683794,0.284585,0.0,41.82,19322.01,1.005433,15.597
chicago_0637,chicago,0.422281,115,8,0.6618,0.279805,0.019465,40.53,30157.71,1.013679,13.427
chicago_0582,chicago,0.395028,111,3,0.67979,0.291339,0.007874,41.05,28486.59,1.001442,16.712
chicago_0348,chicago,0.417493,144,6,0.633406,0.312364,0.013015,37.09,30598.48,1.008333,10.805
vancouver_0026,vancouver,0.403432,89,11,0.495327,0.415888,0.051402,56.97,20452.71,0.998254,4.972
cleveland_0462,cleveland,0.41233,45,1,0.5,0.351562,0.007812,54.62,11689.09,1.000462,10.072
vancouver_0173,vancouver,0.406785,105,41,0.477987,0.330189,0.128931,45.55,22864.45,0.998642,4.715
chicago_0642,chicago,0.419248,112,10,0.706009,0.240343,0.021459,38.58,32636.72,1.006257,9.481
chicago_0255,chicago,0.444151,138,10,0.580645,0.342432,0.024814,33.9,23763.77,1.013344,17.042
chicago_0833,chicago,0.442635,100,15,0.65285,0.259067,0.03886,40.14,27373.13,1.006797,14.254
manhattan_0067,manhattan,0.404709,45,21,0.610092,0.206422,0.09633,52.18,18939.86,1.001374,1.469
detroit_0706,detroit,0.418129,54,14,0.65625,0.210938,0.054688,47.87,21253.35,1.000139,14.244
portland_0323,portland,0.390452,81,6,0.349693,0.496933,0.03681,67.46,17473.3,0.999913,5.874
portland_0343,portland,0.438752,57,5,0.193182,0.647727,0.056818,83.04,10878.29,1.005301,5.682
detroit_0066,detroit,0.442553,137,5,0.625935,0.341646,0.012469,37.36,26827.75,1.005326,17.416
detroit_0179,detroit,0.444142,127,11,0.599502,0.31592,0.027363,43.41,30432.69,1.00784,16.003
chicago_0675,chicago,0.439115,111,15,0.608696,0.30163,0.040761,36.39,23286.54,1.005531,20.526
chicago_0639,chicago,0.434232,199,5,0.583333,0.360507,0.009058,34.49,33694.25,1.008432,11.844
manhattan_0066,manhattan,0.425215,47,53,0.528,0.188,0.212,51.38,19473.04,1.030246,2.256
chicago_0769,chicago,0.415449,99,5,0.690289,0.259843,0.013123,39.92,27584.21,1.003539,13.305
chicago_0280,chicago,0.435397,105,46,0.494012,0.314371,0.137725,46.57,24680.64,1.008825,9.732
houston_0670,houston,0.396687,49,29,0.232143,0.4375,0.258929,88.18,13051.16,1.003426,5.485
chicago_0199,chicago,0.443374,163,14,0.576087,0.354348,0.030435,37.74,30459.89,1.022224,11.125
chicago_0720,chicago,0.433017,198,12,0.506383,0.421277,0.025532,34.02,27349.34,1.005149,18.899
chicago_0488,chicago,0.424508,128,10,0.615385,0.328205,0.025641,38.88,26901.7,1.008579,12.453
detroit_0053,detroit,0.398909,52,2,0.495935,0.422764,0.01626,69.17,14456.01,1.000121,13.167
chicago_0719,chicago,0.393433,119,6,0.685466,0.258134,0.013015,34.67,28950.67,1.000875,19.699
chicago_0077,chicago,0.400671,103,17,0.566775,0.335505,0.055375,43.34,22711.33,1.004632,17.536
chicago_0067,chicago,0.408956,125,5,0.706751,0.263713,0.010549,35.46,30813.15,1.012491,16.706
chicago_0506,chicago,0.403273,114,44,0.501441,0.32853,0.126801,44.68,24843.83,1.001248,5.066
chicago_0082,chicago,0.428495,158,24,0.574837,0.342733,0.052061,33.61,26651.74,1.00963,17.024
chicago_0892,chicago,0.402798,151,9,0.62039,0.327549,0.019523,37.26,30663.27,1.007133,17.105
chicago_0576,chicago,0.401665,118,6,0.679814,0.273782,0.013921,34.62,27000.37,1.00165,21.466
detroit_0294,detroit,0.428618,111,9,0.606771,0.289062,0.023438,39.78,26572.52,1.002226,7.598
chicago_0303,chicago,0.401415,138,8,0.625581,0.32093,0.018605,39.61,30384.06,1.008161,13.215
detroit_0533,detroit,0.441033,73,22,0.208633,0.52518,0.158273,61.76,12042.57,1.023715,12.257
chicago_0244,chicago,0.439644,103,27,0.621053,0.271053,0.071053,40.59,26548.29,1.002679,14.045
detroit_0063,detroit,0.41226,121,5,0.607558,0.351744,0.014535,38.31,23404.62,1.002764,15.941
fez_0015,fez,0.440896,31,5,0.253968,0.492063,0.079365,73.83,6792.32,0.999783,5.073
chicago_0156,chicago,0.434325,81,7,0.592308,0.311538,0.026923,36.24,16343.32,1.00409,13.163
chicago_0767,chicago,0.433225,116,5,0.630728,0.312668,0.013477,40.24,26641.72,1.008592,14.905
chicago_0329,chicago,0.427227,141,11,0.608295,0.324885,0.025346,37.22,28395.57,1.005172,12.419
lasvegas_0105,lasvegas,0.421459,52,30,0.087379,0.504854,0.291262,71.93,8846.86,1.011586,16.19
chicago_0269,chicago,0.404057,136,4,0.683027,0.278119,0.00818,36.73,32653.25,1.004425,9.066
chicago_0228,chicago,0.444444,122,28,0.453376,0.392283,0.090032,40.05,19983.29,1.008424,9.319
chicago_0696,chicago,0.442631,178,49,0.528846,0.342308,0.094231,35.43,30576.89,1.012946,3.846
chicago_0394,chicago,0.412077,125,17,0.665957,0.265957,0.03617,37.75,31594.56,1.005212,10.33
chicago_0304,chicago,0.431071,121,10,0.644279,0.300995,0.024876,40.25,28901.6,1.002846,12.563
cairo_2083,cairo,0.433134,38,20,0.041096,0.520548,0.273973,63.01,5356.01,1.017961,60.369
chicago_0166,chicago,0.437038,104,16,0.595308,0.304985,0.046921,45.57,26794.29,1.005685,11.842
chicago_0536,chicago,0.434048,120,11,0.675294,0.282353,0.025882,37.43,28749.98,1.01036,13.742
