patch_id,city_code,entropy_normalised,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,distance_to_center_km
chicago_0338,chicago,0.444462,195,109,7,0.603715,0.337461,0.021672,3.5232,38.81,22082.51,0.385335,504.69,34.5039,1.006612,20.043
chandigarh_0157,chandigarh,0.428976,35,141,5,0.191257,0.770492,0.027322,3.1257,26.78,7659.62,0.288089,285.94,11.9682,1.011909,5.766
chicago_0085,chicago,0.390113,173,72,0,0.683794,0.284585,0.0,3.6522,41.82,19322.01,0.419162,395.31,30.1906,1.005433,15.597
chicago_0637,chicago,0.422281,272,115,8,0.6618,0.279805,0.019465,3.6204,40.53,30157.71,0.408813,642.19,47.1214,1.013679,13.427
chicago_0582,chicago,0.395028,259,111,3,0.67979,0.291339,0.007874,3.643,41.05,28486.59,0.414795,595.31,44.5103,1.001442,16.712
chicago_0348,chicago,0.417493,292,144,6,0.633406,0.312364,0.013015,3.5792,37.09,30598.48,0.398037,720.31,47.8101,1.008333,10.805
vancouver_0026,vancouver,0.403432,106,89,11,0.495327,0.415888,0.051402,3.3551,56.97,20452.71,0.345154,334.37,31.9574,0.998254,4.972
cleveland_0462,cleveland,0.41233,64,45,1,0.5,0.351562,0.007812,3.3438,54.62,11689.09,0.346614,200.0,18.2642,1.000462,10.072
vancouver_0173,vancouver,0.406785,152,105,41,0.477987,0.330189,0.128931,3.1572,45.55,22864.45,0.293185,496.87,35.7257,0.998642,4.715
chicago_0642,chicago,0.419248,329,112,10,0.706009,0.240343,0.021459,3.6309,38.58,32636.72,0.411003,728.12,50.9949,1.006257,9.481
chicago_0255,chicago,0.444151,234,138,10,0.580645,0.342432,0.024814,3.4789,33.9,23763.77,0.373283,629.69,37.1309,1.013344,17.042
chicago_0833,chicago,0.442635,252,100,15,0.65285,0.259067,0.03886,3.5337,40.14,27373.13,0.387223,603.12,42.7705,1.006797,14.254
manhattan_0067,manhattan,0.404709,133,45,21,0.610092,0.206422,0.09633,3.3303,52.18,18939.86,0.338747,340.62,29.5935,1.001374,1.469
detroit_0706,detroit,0.418129,168,54,14,0.65625,0.210938,0.054688,3.4688,47.87,21253.35,0.372781,400.0,33.2084,1.000139,14.244
portland_0323,portland,0.390452,57,81,6,0.349693,0.496933,0.03681,3.1779,67.46,17473.3,0.302181,254.69,27.302,0.999913,5.874
portland_0343,portland,0.438752,17,57,5,0.193182,0.647727,0.056818,2.9773,83.04,10878.29,0.25731,137.5,16.9973,1.005301,5.682
detroit_0066,detroit,0.442553,251,137,5,0.625935,0.341646,0.012469,3.581,37.36,26827.75,0.398996,626.56,41.9184,1.005326,17.416
detroit_0179,detroit,0.444142,241,127,11,0.599502,0.31592,0.027363,3.4876,43.41,30432.69,0.375469,628.12,47.5511,1.00784,16.003
chicago_0675,chicago,0.439115,224,111,15,0.608696,0.30163,0.040761,3.4783,36.39,23286.54,0.373461,575.0,36.3852,1.005531,20.526
chicago_0639,chicago,0.434232,322,199,5,0.583333,0.360507,0.009058,3.5399,34.49,33694.25,0.387625,862.5,52.6473,1.008432,11.844
manhattan_0066,manhattan,0.425215,132,47,53,0.528,0.188,0.212,3.032,51.38,19473.04,0.262626,390.62,30.4266,1.030246,2.256
chicago_0769,chicago,0.415449,263,99,5,0.690289,0.259843,0.013123,3.6273,39.92,27584.21,0.410832,595.31,43.1003,1.003539,13.305
