patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used,n_nodes_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
chicago_0338,chicago,338,41.704967,-87.703029,441108.44,4616858.65,441908.44,4617658.65,EPSG:32616,1234,323,323,1,323,1.0,1.592737,0.444462,1.554809,0.433878,0.991172,1138,323,195,109,7,0.603715,0.337461,0.021672,3.5232,38.81,22082.51,0.385335,504.69,34.5039,1.006612,14,16683.85,4719.99,0.2829,0.9999,0.5475,0.6653,0.9998,1470.0,0.2074,90.29,145.65,11.6,3.49
chandigarh_0157,chandigarh,157,30.693441,76.81819,673742.34,3396638.99,674542.34,3397438.99,EPSG:32643,680,210,210,8,183,0.8714,1.537245,0.428976,1.681372,0.469196,0.99528,572,183,35,141,5,0.191257,0.770492,0.027322,3.1257,26.78,7659.62,0.288089,285.94,11.9682,1.011909,23,3936.02,1431.84,0.3638,0.9894,0.5533,0.803,0.9995,1.0,0.0071,4521.54,0.0,,
chicago_0085,chicago,85,41.798135,-87.781081,434708.44,4627258.65,435508.44,4628058.65,EPSG:32616,1020,253,253,1,253,1.0,1.397979,0.390113,1.324571,0.369629,0.999972,924,253,173,72,0,0.683794,0.284585,0.0,3.6522,41.82,19322.01,0.419162,395.31,30.1906,1.005433,12,20397.58,115.46,0.0057,0.9996,0.5109,0.5041,0.9995,1601.0,0.3065,122.54,912.69,10.23,7.54
chicago_0637,chicago,637,41.755742,-87.645845,445908.44,4622458.65,446708.44,4623258.65,EPSG:32616,1644,416,416,6,411,0.988,1.513252,0.422281,1.50722,0.420598,0.996661,1480,411,272,115,8,0.6618,0.279805,0.019465,3.6204,40.53,30157.71,0.408813,642.19,47.1214,1.013679,20,19220.89,1946.69,0.1013,0.9979,0.5041,0.4988,0.9966,1150.0,0.2306,128.35,150.4,11.4,5.46
chicago_0582,chicago,582,41.726867,-87.655175,445108.44,4619258.65,445908.44,4620058.65,EPSG:32616,1572,381,381,1,381,1.0,1.415592,0.395028,1.343029,0.374779,0.999822,1388,381,259,111,3,0.67979,0.291339,0.007874,3.643,41.05,28486.59,0.414795,595.31,44.5103,1.001442,18,22765.68,9489.19,0.4168,0.9926,0.5001,0.4986,0.992,1816.0,0.264,93.05,102.26,10.16,2.86
chicago_0348,chicago,348,41.798633,-87.704052,441108.44,4627258.65,441908.44,4628058.65,EPSG:32616,1812,461,461,1,461,1.0,1.496093,0.417493,1.492858,0.41659,0.997503,1642,461,292,144,6,0.633406,0.312364,0.013015,3.5792,37.09,30598.48,0.398037,720.31,47.8101,1.008333,18,22966.72,6514.29,0.2836,0.9999,0.5039,0.5133,0.9999,1627.0,0.2866,112.75,364.5,10.01,8.84
vancouver_0026,vancouver,26,49.239989,-123.174336,486909.99,5453749.41,487709.99,5454549.41,EPSG:32610,840,214,214,1,214,1.0,1.445705,0.403432,1.329163,0.37091,0.999269,718,214,106,89,11,0.495327,0.415888,0.051402,3.3551,56.97,20452.71,0.345154,334.37,31.9574,0.998254,0,,,,,,,,1336.0,0.2215,106.1,57.26,12.89,3.68
cleveland_0462,cleveland,462,41.45969,-81.585431,450707.88,4589554.41,451507.88,4590354.41,EPSG:32617,538,130,130,3,128,0.9846,1.477594,0.41233,1.387107,0.38708,0.998273,428,128,64,45,1,0.5,0.351562,0.007812,3.3438,54.62,11689.09,0.346614,200.0,18.2642,1.000462,6,28657.7,4882.34,0.1704,0.9994,0.4544,0.4245,0.9998,1.0,0.0003,209.86,0.0,,
vancouver_0173,vancouver,173,49.276089,-123.05348,495709.99,5457749.41,496509.99,5458549.41,EPSG:32610,1146,321,321,4,318,0.9907,1.457721,0.406785,1.379889,0.385065,0.998943,1004,318,152,105,41,0.477987,0.330189,0.128931,3.1572,45.55,22864.45,0.293185,496.87,35.7257,0.998642,0,,,,,,,,1252.0,0.2242,114.59,81.26,10.48,3.63
chicago_0642,chicago,642,41.791768,-87.646207,445908.44,4626458.65,446708.44,4627258.65,EPSG:32616,1840,466,466,1,466,1.0,1.502382,0.419248,1.443544,0.402829,0.997209,1692,466,329,112,10,0.706009,0.240343,0.021459,3.6309,38.58,32636.72,0.411003,728.12,50.9949,1.006257,26,18641.19,5681.11,0.3048,0.9993,0.4864,0.4879,0.9987,723.0,0.1519,134.43,218.35,12.48,7.44
chicago_0255,chicago,255,41.740873,-87.722662,439508.44,4620858.65,440308.44,4621658.65,EPSG:32616,1570,411,411,3,403,0.9805,1.591623,0.444151,1.67214,0.46662,0.991267,1402,403,234,138,10,0.580645,0.342432,0.024814,3.4789,33.9,23763.77,0.373283,629.69,37.1309,1.013344,10,28858.11,16554.07,0.5736,0.9997,0.5243,0.5352,0.9993,1655.0,0.2506,96.9,93.14,11.47,3.22
chicago_0833,chicago,833,41.748797,-87.597666,449908.44,4621658.65,450708.44,4622458.65,EPSG:32616,1524,386,386,1,386,1.0,1.586191,0.442635,1.566674,0.437189,0.991723,1364,386,252,100,15,0.65285,0.259067,0.03886,3.5337,40.14,27373.13,0.387223,603.12,42.7705,1.006797,17,25295.34,29860.13,1.1805,0.9845,0.4478,0.4476,0.9877,1123.0,0.2436,138.84,208.97,11.39,5.45
manhattan_0067,manhattan,67,40.775724,-73.956652,587644.69,4513984.38,588444.69,4514784.38,EPSG:32618,876,218,218,1,218,1.0,1.450284,0.404709,1.372908,0.383117,0.999152,726,218,133,45,21,0.610092,0.206422,0.09633,3.3303,52.18,18939.86,0.338747,340.62,29.5935,1.001374,0,,,,,,,,,,,,,
detroit_0706,detroit,706,42.436375,-82.947014,339456.5,4699664.74,340256.5,4700464.74,EPSG:32617,1030,259,259,4,256,0.9884,1.498372,0.418129,1.441684,0.40231,0.997398,888,256,168,54,14,0.65625,0.210938,0.054688,3.4688,47.87,21253.35,0.372781,400.0,33.2084,1.000139,11,17198.96,342.11,0.0199,0.9996,0.4741,0.4494,0.9993,684.0,0.0871,81.54,90.01,13.46,4.59
